passenger_id,flight_id,interaction_type,timestamp
2215fb8b-67c1-4f89-bfd5-52d068c5ca4f,29,SEARCH,2026-02-14T14:17:53.325067
fc14947a-d538-4d41-9ffe-e69397a72b32,17,PURCHASE,2026-02-14T14:33:53.325067
993f0dbf-2553-415d-9d50-be9b0928e9b7,11,SEARCH,2026-02-14T15:01:53.325067
96e8c26e-0ec2-4efc-9437-af2b9dbaccd4,6,SEARCH,2026-02-14T15:05:53.325067
939104dd-4d20-4b27-9fa0-d8f87d70973b,19,SEARCH,2026-02-14T15:06:53.325067
d7e15291-054f-4cef-9258-1af87c8a1dc4,21,SEARCH,2026-02-14T15:16:53.325067
114a3a20-1ec3-41c7-9356-8bcf7aff63fa,15,SEARCH,2026-02-14T15:41:53.325067
209e1b4f-9340-42d8-b737-0f3435787db4,14,SEARCH,2026-02-14T15:54:53.325067
939104dd-4d20-4b27-9fa0-d8f87d70973b,9,SEARCH,2026-02-14T15:55:53.325067
920036aa-1e46-4c61-b723-5f6d549697b4,13,SEARCH,2026-02-14T18:10:53.325067
03e12c65-f5c6-4994-a25f-4b40e3f5ce46,9,SEARCH,2026-02-14T18:21:53.325067
930b3803-3763-494c-9c8e-f522f4a0184d,7,SEARCH,2026-02-14T18:27:53.325067
c2ed763e-ec0e-4b59-b7ff-b2d4bc4f294b,20,SEARCH,2026-02-14T18:45:53.325067
6eab0579-7d84-4c14-93f7-7afac138240b,18,SEARCH,2026-02-14T18:49:53.325067
c24a1f2c-e995-4ab7-b371-51f3919a5d97,7,PURCHASE,2026-02-14T18:50:53.325067
ec5bf1f7-2a55-4a83-9709-2df9b1283cc9,3,SEARCH,2026-02-14T19:00:53.325067
01e53c67-0cb2-4f21-8eee-ef6246003908,16,PURCHASE,2026-02-14T19:36:53.325067
d7e77be1-9611-427c-9c23-b257a02e74d2,9,SEARCH,2026-02-14T19:42:53.325067
10736b4a-8fdb-4b0d-bcd2-3658eb891b12,14,SEARCH,2026-02-14T19:47:53.325067
bf25f2cc-5280-4b7d-955d-1f98969c2450,26,PURCHASE,2026-02-14T19:56:53.325067
09acf0d1-0c42-4614-ba7b-024042ad1bb9,4,SEARCH,2026-02-14T19:59:53.325067
e5635040-1736-4b05-9eaf-c6d0eca3b36b,12,SEARCH,2026-02-14T20:04:53.325067
482db056-98f2-4992-b2ac-4d904f495e51,8,SEARCH,2026-02-14T20:11:53.325067
f81d9aac-045b-487b-8eb7-78f2e6c87ad6,10,SEARCH,2026-02-14T20:21:53.325067
9647378f-753b-42a1-b37b-420d38ccf753,10,SEARCH,2026-02-14T20:23:53.325067
6eab0579-7d84-4c14-93f7-7afac138240b,9,SEARCH,2026-02-14T20:26:53.325067
ea88356f-27fa-4a01-82ca-d699a940f2b2,11,SEARCH,2026-02-14T20:28:53.325067
296d3bca-9d86-40fa-a523-94e710959c8a,7,PURCHASE,2026-02-14T21:03:53.325067
4d036e41-d90b-41cf-9073-34efdbe8ec2e,11,SEARCH,2026-02-14T21:14:53.325067
b24f8168-69cc-47f5-9566-a4630930bdcf,7,SEARCH,2026-02-14T21:16:53.325067
c2ed763e-ec0e-4b59-b7ff-b2d4bc4f294b,19,SEARCH,2026-02-14T21:18:53.325067
14475413-bfe4-45ff-9516-e0d88e2673ce,23,SEARCH,2026-02-14T21:20:53.325067
